联赛,赛季,轮次,比赛时间,主队,完场比分,客队,半场比分,bet365亚盘初盘,bet365大小球初盘,bet365胜平负初盘,主队近30场比赛积分,客队近30场比赛积分,主队近3场比赛积分,客队近3场比赛积分,主客队近3场强弱
"瑞典超级联赛","2023","R_8","2023-05-14 21:00","埃尔夫斯堡","2-0","韦纳穆","0-0","","","",16,9,9,3,6
"瑞典超级联赛","2023","R_8","2023-05-14 21:00","哈马比","4-3","尤尔加登","2-0","","","",7,10,1,3,-2
"瑞典超级联赛","2023","R_8","2023-05-14 21:00","米亚尔比","3-0","天狼星","3-0","","","",9,5,2,2,0
"瑞典超级联赛","2023","R_8","2023-05-14 23:30","哈尔姆斯塔德","0-1","马尔默","0-0","","","",9,21,3,9,-6
"瑞典超级联赛","2023","R_8","2023-05-14 23:30","卡尔马","1-3","布洛马波卡纳","1-1","","","",11,10,2,7,-5
"巴西甲组联赛","2023","R_6","2023-05-15 03:00","格雷米奥","0-0","福塔雷萨","0-0","","","",7,9,4,5,-1
"巴西甲组联赛","2023","R_6","2023-05-15 03:00","瓦斯科达伽马","0-1","桑托斯","0-1","","","",6,7,2,6,-4
"巴西甲组联赛","2023","R_6","2023-05-15 03:00","科林蒂安","1-1","圣保罗","1-1","","","",4,8,1,5,-4
"巴西甲组联赛","2023","R_6","2023-05-15 05:30","戈伊亚斯","2-1","博塔弗戈","1-1","","","",3,15,0,9,-9
"巴西甲组联赛","2023","R_6","2023-05-15 05:30","米内罗美洲","0-4","克鲁塞罗","0-1","","","",1,9,1,6,-5
"巴西甲组联赛","2023","R_6","2023-05-15 05:30","巴拉纳竞技","3-2","科里蒂巴","0-1","","","",9,2,6,2,4
"瑞典超级联赛","2023","R_8","2023-05-16 01:10","索尔纳","2-2","哥德堡","1-1","","","",5,5,2,5,-3
"挪威超级联赛","2023","R_7","2023-05-16 23:59","特罗姆瑟","2-3","博德闪耀","1-2","","","",11,19,6,9,-3
"挪威超级联赛","2023","R_7","2023-05-16 23:59","布兰","4-1","斯塔贝克","2-1","","","",11,11,4,7,-3
"挪威超级联赛","2023","R_7","2023-05-16 23:59","维京","3-2","奥德格伦兰","0-2","","","",11,9,7,3,4
"挪威超级联赛","2023","R_7","2023-05-16 23:59","利勒斯特罗姆","1-2","萨普斯堡","0-0","","","",12,9,6,5,1
"挪威超级联赛","2023","R_7","2023-05-16 23:59","瓦勒伦加","3-0","汉坎","3-0","","","",7,6,4,0,4
"挪威超级联赛","2023","R_7","2023-05-16 23:59","斯托姆加斯特","1-0","桑德菲杰","1-0","","","",4,6,1,4,-3
